,日期,单品编码,批发价格(元/千克)
113,2020-07-04,102900005115823,6.56
114,2020-07-04,102900005115908,3.53
115,2020-07-04,102900005115946,4.28
116,2020-07-04,102900005115960,2.21
117,2020-07-04,102900005115984,3.75
118,2020-07-04,102900005116226,4.41
119,2020-07-04,102900005116233,5.42
120,2020-07-04,102900005116257,3.94
121,2020-07-04,102900005116509,1.98
122,2020-07-04,102900005116530,12.0
123,2020-07-04,102900005116547,4.05
124,2020-07-04,102900005116714,9.27
125,2020-07-04,102900005116790,4.01
126,2020-07-04,102900005116912,7.79
127,2020-07-04,102900005116943,5.9
128,2020-07-04,102900005117056,5.16
129,2020-07-04,102900005117209,7.43
130,2020-07-04,102900005118824,5.41
131,2020-07-04,102900005118831,4.09
132,2020-07-04,102900005119944,10.08
133,2020-07-04,102900005123880,7.23
134,2020-07-04,102900005125808,12.08
135,2020-07-04,102900005125815,6.0
136,2020-07-04,102900011000328,6.0
137,2020-07-04,102900011001219,7.37
138,2020-07-04,102900011006689,7.21
139,2020-07-04,102900011008522,4.44
140,2020-07-04,102900011009970,4.71
141,2020-07-04,102900051000944,25.48
142,2020-07-04,102900051004294,6.09
143,2020-07-04,102900051010455,4.63
144,2020-07-05,102900005115762,3.48
145,2020-07-05,102900005115779,5.77
146,2020-07-05,102900005115786,3.45
147,2020-07-05,102900005115793,10.0
148,2020-07-05,102900005115823,6.56
149,2020-07-05,102900005115908,4.04
150,2020-07-05,102900005115946,4.31
151,2020-07-05,102900005115960,2.2
152,2020-07-05,102900005115984,3.75
153,2020-07-05,102900005116226,4.35
154,2020-07-05,102900005116233,5.44
155,2020-07-05,102900005116257,4.24
156,2020-07-05,102900005116509,2.04
157,2020-07-05,102900005116530,12.0
158,2020-07-05,102900005116547,4.05
159,2020-07-05,102900005116714,9.47
160,2020-07-05,102900005116912,7.9
161,2020-07-05,102900005116943,5.83
162,2020-07-05,102900005117056,5.16
163,2020-07-05,102900005117209,8.35
164,2020-07-05,102900005118824,5.42
165,2020-07-05,102900005118831,4.1
166,2020-07-05,102900005119975,3.6
167,2020-07-05,102900005123880,7.23
168,2020-07-05,102900005125808,11.67
169,2020-07-05,102900005125815,6.16
170,2020-07-05,102900011000328,7.95
171,2020-07-05,102900011001219,7.3
172,2020-07-05,102900011001813,1.63
173,2020-07-05,102900011006689,7.03
174,2020-07-05,102900011008522,4.44
175,2020-07-05,102900011009444,8.1
176,2020-07-05,102900011009970,4.93
177,2020-07-05,102900051004294,6.3
178,2020-07-05,102900051010455,4.75
179,2020-07-06,102900005115762,3.35
180,2020-07-06,102900005115779,6.48
181,2020-07-06,102900005115786,3.18
182,2020-07-06,102900005115793,9.23
183,2020-07-06,102900005115823,6.25
184,2020-07-06,102900005115908,4.55
185,2020-07-06,102900005115946,4.21
186,2020-07-06,102900005115960,2.2
187,2020-07-06,102900005115984,3.65
188,2020-07-06,102900005116226,4.41
189,2020-07-06,102900005116233,5.41
190,2020-07-06,102900005116257,4.49
191,2020-07-06,102900005116509,2.05
192,2020-07-06,102900005116530,12.0
193,2020-07-06,102900005116547,4.06
194,2020-07-06,102900005116714,9.48
195,2020-07-06,102900005116912,7.89
196,2020-07-06,102900005116943,5.82
197,2020-07-06,102900005117056,4.98
198,2020-07-06,102900005117209,8.44
199,2020-07-06,102900005118824,5.45
200,2020-07-06,102900005118831,4.06
201,2020-07-06,102900005119944,10.09
202,2020-07-06,102900005119975,3.6
203,2020-07-06,102900005123880,7.38
204,2020-07-06,102900005125808,11.68
205,2020-07-06,102900005125815,6.14
206,2020-07-06,102900011000328,8.16
207,2020-07-06,102900011001219,8.05
208,2020-07-06,102900011001813,1.64
209,2020-07-06,102900011006948,9.17
210,2020-07-06,102900011008522,4.44
211,2020-07-06,102900011009444,5.27
212,2020-07-06,102900011009970,5.6
213,2020-07-06,102900051004294,6.42
214,2020-07-06,102900051010455,5.31
215,2020-07-07,102900005115762,3.26
216,2020-07-07,102900005115779,6.92
217,2020-07-07,102900005115786,3.18
218,2020-07-07,102900005115793,9.9
219,2020-07-07,102900005115823,6.25
220,2020-07-07,102900005115908,4.65
221,2020-07-07,102900005115946,4.21
222,2020-07-07,102900005115960,2.2
223,2020-07-07,102900005115984,3.73
224,2020-07-07,102900005116226,4.6
225,2020-07-07,102900005116233,5.48
226,2020-07-07,102900005116257,4.75
227,2020-07-07,102900005116509,2.05
228,2020-07-07,102900005116530,12.0
229,2020-07-07,102900005116547,4.05
230,2020-07-07,102900005116714,9.16
231,2020-07-07,102900005116837,8.0
232,2020-07-07,102900005116912,7.88
233,2020-07-07,102900005116943,5.8
234,2020-07-07,102900005117056,4.75
235,2020-07-07,102900005117209,8.46
236,2020-07-07,102900005118824,5.46
237,2020-07-07,102900005118831,4.07
238,2020-07-07,102900005119944,10.05
239,2020-07-07,102900005119975,3.6
240,2020-07-07,102900005123880,6.19
241,2020-07-07,102900005125808,11.69
242,2020-07-07,102900005125815,6.13
243,2020-07-07,102900011000328,8.08
244,2020-07-07,102900011001219,10.56
245,2020-07-07,102900011001813,1.64
246,2020-07-07,102900011006689,4.32
247,2020-07-07,102900011006948,9.42
248,2020-07-07,102900011008522,4.44
249,2020-07-07,102900011009970,5.44
250,2020-07-07,102900051004294,6.6
251,2020-07-07,102900051010455,5.31
252,2020-07-08,102900005115762,3.24
253,2020-07-08,102900005115779,6.92
254,2020-07-08,102900005115786,3.02
255,2020-07-08,102900005115793,10.42
256,2020-07-08,102900005115816,4.59
257,2020-07-08,102900005115823,6.25
258,2020-07-08,102900005115908,4.78
259,2020-07-08,102900005115946,4.21
260,2020-07-08,102900005115960,2.2
261,2020-07-08,102900005115984,3.75
262,2020-07-08,102900005116226,4.77
263,2020-07-08,102900005116233,5.62
264,2020-07-08,102900005116257,5.23
265,2020-07-08,102900005116509,2.04
266,2020-07-08,102900005116530,12.0
267,2020-07-08,102900005116547,4.05
268,2020-07-08,102900005116714,9.09
269,2020-07-08,102900005116790,4.39
270,2020-07-08,102900005116899,9.0
271,2020-07-08,102900005116912,7.87
272,2020-07-08,102900005116943,6.2
273,2020-07-08,102900005117056,4.75
274,2020-07-08,102900005117209,8.42
275,2020-07-08,102900005118824,5.47
276,2020-07-08,102900005118831,4.11
277,2020-07-08,102900005119944,10.04
278,2020-07-08,102900005119975,3.6
279,2020-07-08,102900005123880,4.34
280,2020-07-08,102900005125808,11.54
281,2020-07-08,102900005125815,6.13
282,2020-07-08,102900011000328,7.55
283,2020-07-08,102900011001219,12.22
284,2020-07-08,102900011006948,9.81
285,2020-07-08,102900011008522,4.44
286,2020-07-08,102900011009970,5.27
287,2020-07-08,102900051004294,7.17
288,2020-07-08,102900051010455,5.31
289,2020-07-09,102900005115762,3.08
290,2020-07-09,102900005115779,7.06
291,2020-07-09,102900005115786,2.84
292,2020-07-09,102900005115793,10.42
293,2020-07-09,102900005115823,6.25
294,2020-07-09,102900005115908,4.77
295,2020-07-09,102900005115946,4.22
296,2020-07-09,102900005115960,2.15
297,2020-07-09,102900005115984,3.75
298,2020-07-09,102900005116226,4.81
299,2020-07-09,102900005116233,5.52
300,2020-07-09,102900005116257,5.3
301,2020-07-09,102900005116509,2.04
302,2020-07-09,102900005116530,12.0
303,2020-07-09,102900005116547,4.05
304,2020-07-09,102900005116714,9.03
305,2020-07-09,102900005116790,4.46
306,2020-07-09,102900005116912,7.85
307,2020-07-09,102900005116943,6.26
308,2020-07-09,102900005117056,4.75
309,2020-07-09,102900005117209,7.92
310,2020-07-09,102900005118824,5.47
311,2020-07-09,102900005118831,4.09
312,2020-07-09,102900005119944,10.03
313,2020-07-09,102900005119975,3.6
314,2020-07-09,102900005123880,4.34
315,2020-07-09,102900005125808,10.2
316,2020-07-09,102900005125815,6.12
317,2020-07-09,102900011000328,7.25
318,2020-07-09,102900011001219,12.24
319,2020-07-09,102900011006948,9.8
320,2020-07-09,102900011008522,4.44
321,2020-07-09,102900011009444,4.07
322,2020-07-09,102900011009970,5.21
323,2020-07-09,102900051004294,7.26
324,2020-07-09,102900051010455,5.31
325,2020-07-10,102900005115762,2.41
326,2020-07-10,102900005115779,7.07
327,2020-07-10,102900005115786,2.62
328,2020-07-10,102900005115793,10.43
329,2020-07-10,102900005115823,6.25
330,2020-07-10,102900005115861,2.01
331,2020-07-10,102900005115908,4.76
332,2020-07-10,102900005115946,4.23
333,2020-07-10,102900005115960,2.1
334,2020-07-10,102900005115984,3.75
335,2020-07-10,102900005116226,4.83
336,2020-07-10,102900005116233,5.51
337,2020-07-10,102900005116257,5.5
338,2020-07-10,102900005116509,2.1
339,2020-07-10,102900005116530,12.0
340,2020-07-10,102900005116547,4.05
341,2020-07-10,102900005116714,8.82
342,2020-07-10,102900005116790,4.46
343,2020-07-10,102900005116899,9.0
344,2020-07-10,102900005116912,7.86
345,2020-07-10,102900005116943,6.11
346,2020-07-10,102900005117056,5.42
347,2020-07-10,102900005117209,7.35
348,2020-07-10,102900005118817,7.88
349,2020-07-10,102900005118824,5.44
350,2020-07-10,102900005118831,4.06
351,2020-07-10,102900005119944,9.94
352,2020-07-10,102900005119975,3.6
353,2020-07-10,102900005125808,10.2
354,2020-07-10,102900005125815,6.11
355,2020-07-10,102900011000328,7.32
356,2020-07-10,102900011006948,9.81
357,2020-07-10,102900011008522,5.29
358,2020-07-10,102900011009444,8.11
359,2020-07-10,102900011009970,4.7
360,2020-07-10,102900051004294,7.87
361,2020-07-10,102900051010455,5.31
362,2020-07-10,106956146480203,1.96
363,2020-07-11,102900005115762,2.38
364,2020-07-11,102900005115779,7.03
365,2020-07-11,102900005115786,2.37
366,2020-07-11,102900005115793,10.38
367,2020-07-11,102900005115823,6.25
368,2020-07-11,102900005115908,4.77
369,2020-07-11,102900005115946,4.24
370,2020-07-11,102900005115960,2.1
371,2020-07-11,102900005115984,3.75
372,2020-07-11,102900005116233,6.6
373,2020-07-11,102900005116257,5.42
374,2020-07-11,102900005116509,2.19
375,2020-07-11,102900005116530,12.0
376,2020-07-11,102900005116547,4.13
377,2020-07-11,102900005116714,8.91
378,2020-07-11,102900005116899,9.0
379,2020-07-11,102900005116912,7.86
380,2020-07-11,102900005116943,6.37
381,2020-07-11,102900005117056,5.64
382,2020-07-11,102900005117209,8.3
383,2020-07-11,102900005118824,5.41
384,2020-07-11,102900005118831,4.04
385,2020-07-11,102900005119944,10.0
386,2020-07-11,102900005119975,3.6
387,2020-07-11,102900005123880,4.72
388,2020-07-11,102900005125808,10.2
389,2020-07-11,102900005125815,6.11
390,2020-07-11,102900011000328,7.51
391,2020-07-11,102900011001219,11.9
392,2020-07-11,102900011006689,4.32
393,2020-07-11,102900011006948,10.61
394,2020-07-11,102900011008522,5.05
395,2020-07-11,102900011009444,8.1
396,2020-07-11,102900011009970,3.86
397,2020-07-11,102900051004294,8.15
398,2020-07-11,102900051010455,5.31
399,2020-07-12,102900005115762,2.39
400,2020-07-12,102900005115779,6.92
401,2020-07-12,102900005115786,2.24
402,2020-07-12,102900005115793,10.39
403,2020-07-12,102900005115823,6.25
404,2020-07-12,102900005115908,4.86
405,2020-07-12,102900005115946,4.43
406,2020-07-12,102900005115960,2.1
407,2020-07-12,102900005115984,3.75
408,2020-07-12,102900005116226,4.94
409,2020-07-12,102900005116233,5.56
410,2020-07-12,102900005116257,5.05
411,2020-07-12,102900005116509,2.22
412,2020-07-12,102900005116530,12.0
413,2020-07-12,102900005116547,4.25
414,2020-07-12,102900005116714,8.49
415,2020-07-12,102900005116899,9.0
416,2020-07-12,102900005116912,7.81
417,2020-07-12,102900005116943,6.72
418,2020-07-12,102900005117056,6.08
419,2020-07-12,102900005117209,7.83
420,2020-07-12,102900005118824,5.41
421,2020-07-12,102900005118831,4.05
422,2020-07-12,102900005119944,10.01
423,2020-07-12,102900005119975,3.6
424,2020-07-12,102900005123880,7.38
425,2020-07-12,102900005125808,10.19
426,2020-07-12,102900005125815,6.08
427,2020-07-12,102900011000328,6.27
428,2020-07-12,102900011001219,11.37
429,2020-07-12,102900011006689,4.26
430,2020-07-12,102900011006948,11.06
431,2020-07-12,102900011008522,4.94
432,2020-07-12,102900011009444,5.34
433,2020-07-12,102900011009970,3.48
434,2020-07-12,102900051000944,24.05
435,2020-07-12,102900051004294,7.91
436,2020-07-12,102900051010455,5.31
437,2020-07-12,106956146480197,2.07
438,2020-07-13,102900005115779,6.92
439,2020-07-13,102900005115786,2.17
440,2020-07-13,102900005115793,10.35
441,2020-07-13,102900005115823,6.25
442,2020-07-13,102900005115908,4.92
443,2020-07-13,102900005115946,4.25
444,2020-07-13,102900005115960,2.1
445,2020-07-13,102900005115984,3.75
446,2020-07-13,102900005116226,5.24
447,2020-07-13,102900005116233,5.5
448,2020-07-13,102900005116257,5.42
449,2020-07-13,102900005116509,2.2
450,2020-07-13,102900005116530,12.0
451,2020-07-13,102900005116547,3.75
452,2020-07-13,102900005116714,8.29
453,2020-07-13,102900005116899,9.0
454,2020-07-13,102900005116912,7.84
455,2020-07-13,102900005116943,6.9
456,2020-07-13,102900005117056,5.86
457,2020-07-13,102900005117209,8.8
458,2020-07-13,102900005118824,5.4
459,2020-07-13,102900005118831,4.05
460,2020-07-13,102900005119944,10.03
461,2020-07-13,102900005119975,3.6
462,2020-07-13,102900005123880,7.09
463,2020-07-13,102900005125808,10.18
464,2020-07-13,102900005125815,6.06
465,2020-07-13,102900011000328,6.27
466,2020-07-13,102900011001219,11.36
467,2020-07-13,102900011006689,3.76
468,2020-07-13,102900011008522,4.97
469,2020-07-13,102900011009444,4.28
470,2020-07-13,102900011009970,3.33
471,2020-07-13,102900051004294,7.8
472,2020-07-13,102900051010455,5.31
473,2020-07-14,102900005115779,6.92
474,2020-07-14,102900005115786,1.76
475,2020-07-14,102900005115793,10.35
476,2020-07-14,102900005115823,6.0
477,2020-07-14,102900005115908,4.88
478,2020-07-14,102900005115946,4.27
479,2020-07-14,102900005115960,1.91
480,2020-07-14,102900005115984,3.75
481,2020-07-14,102900005116226,5.06
482,2020-07-14,102900005116233,5.9
483,2020-07-14,102900005116257,5.67
484,2020-07-14,102900005116509,2.16
485,2020-07-14,102900005116530,12.0
486,2020-07-14,102900005116547,3.75
487,2020-07-14,102900005116714,7.79
488,2020-07-14,102900005116899,8.0
489,2020-07-14,102900005116912,7.8
490,2020-07-14,102900005116943,7.32
491,2020-07-14,102900005117056,5.35
492,2020-07-14,102900005117209,11.45
493,2020-07-14,102900005118824,5.24
494,2020-07-14,102900005118831,4.0
495,2020-07-14,102900005119944,9.94
496,2020-07-14,102900005119975,3.2
497,2020-07-14,102900005123880,4.94
498,2020-07-14,102900005125808,9.84
499,2020-07-14,102900005125815,6.05
500,2020-07-14,102900011000328,6.4
501,2020-07-14,102900011001219,12.22
502,2020-07-14,102900011006689,3.64
503,2020-07-14,102900011008522,5.0
504,2020-07-14,102900011009444,4.27
505,2020-07-14,102900011009970,2.97
506,2020-07-14,102900011011546,1.7
507,2020-07-14,102900051004294,6.84
508,2020-07-14,102900051010455,5.31
509,2020-07-14,106956146480197,2.04
510,2020-07-15,102900005115779,6.91
511,2020-07-15,102900005115786,1.77
512,2020-07-15,102900005115823,5.7
513,2020-07-15,102900005115908,4.91
514,2020-07-15,102900005115946,4.26
515,2020-07-15,102900005115960,1.52
516,2020-07-15,102900005115984,3.75
517,2020-07-15,102900005116226,5.04
518,2020-07-15,102900005116233,6.36
519,2020-07-15,102900005116257,5.69
520,2020-07-15,102900005116509,2.49
521,2020-07-15,102900005116530,12.0
522,2020-07-15,102900005116547,4.22
523,2020-07-15,102900005116714,7.76
524,2020-07-15,102900005116899,8.0
525,2020-07-15,102900005116912,7.81
526,2020-07-15,102900005116943,7.97
527,2020-07-15,102900005117056,5.59
528,2020-07-15,102900005117209,11.9
529,2020-07-15,102900005118824,5.24
530,2020-07-15,102900005118831,4.03
531,2020-07-15,102900005119944,9.96
532,2020-07-15,102900005119975,3.2
533,2020-07-15,102900005123880,4.46
534,2020-07-15,102900005125808,9.86
535,2020-07-15,102900005125815,6.07
536,2020-07-15,102900011000328,6.38
537,2020-07-15,102900011001219,11.65
538,2020-07-15,102900011006689,3.65
539,2020-07-15,102900011008522,5.0
540,2020-07-15,102900011009444,4.19
541,2020-07-15,102900011009970,2.87
542,2020-07-15,102900011011546,1.7
543,2020-07-15,102900051004294,7.06
544,2020-07-15,102900051010455,5.31
545,2020-07-15,106956146480197,2.05
546,2020-07-16,102900005115779,6.8
547,2020-07-16,102900005115786,1.76
548,2020-07-16,102900005115793,10.83
549,2020-07-16,102900005115823,5.67
550,2020-07-16,102900005115908,4.47
551,2020-07-16,102900005115946,4.26
552,2020-07-16,102900005115960,1.4
553,2020-07-16,102900005115984,3.75
554,2020-07-16,102900005116226,5.04
555,2020-07-16,102900005116233,7.5
556,2020-07-16,102900005116257,5.66
557,2020-07-16,102900005116509,2.46
558,2020-07-16,102900005116530,12.0
559,2020-07-16,102900005116547,4.25
560,2020-07-16,102900005116714,7.74
561,2020-07-16,102900005116899,8.0
562,2020-07-16,102900005116912,7.82
563,2020-07-16,102900005116943,8.46
564,2020-07-16,102900005117056,5.56
565,2020-07-16,102900005117209,12.51
566,2020-07-16,102900005118824,5.26
567,2020-07-16,102900005118831,4.07
568,2020-07-16,102900005119944,9.97
569,2020-07-16,102900005119975,3.2
570,2020-07-16,102900005123880,4.45
571,2020-07-16,102900005125808,10.09
572,2020-07-16,102900005125815,6.05
573,2020-07-16,102900011000328,6.24
574,2020-07-16,102900011001219,11.3
575,2020-07-16,102900011001806,3.1
576,2020-07-16,102900011006689,3.65
577,2020-07-16,102900011008522,5.0
578,2020-07-16,102900011009444,4.7
579,2020-07-16,102900011009970,2.82
580,2020-07-16,102900051004294,7.58
581,2020-07-16,102900051010455,5.31
582,2020-07-16,106956146480197,2.03
583,2020-07-17,102900005115762,3.26
584,2020-07-17,102900005115779,6.8
585,2020-07-17,102900005115786,1.76
586,2020-07-17,102900005115793,10.95
587,2020-07-17,102900005115823,5.67
588,2020-07-17,102900005115908,4.4
589,2020-07-17,102900005115946,4.27
590,2020-07-17,102900005115960,1.4
591,2020-07-17,102900005115984,3.75
592,2020-07-17,102900005116226,5.03
593,2020-07-17,102900005116233,7.58
594,2020-07-17,102900005116257,5.14
595,2020-07-17,102900005116509,2.45
596,2020-07-17,102900005116530,12.0
597,2020-07-17,102900005116547,4.74
598,2020-07-17,102900005116714,7.72
599,2020-07-17,102900005116899,8.0
600,2020-07-17,102900005116912,7.78
601,2020-07-17,102900005116943,8.86
602,2020-07-17,102900005117056,5.23
603,2020-07-17,102900005117209,12.96
604,2020-07-17,102900005118824,5.42
605,2020-07-17,102900005118831,4.08
606,2020-07-17,102900005119944,9.96
607,2020-07-17,102900005119975,3.2
608,2020-07-17,102900005123880,4.37
609,2020-07-17,102900005125808,10.28
610,2020-07-17,102900005125815,6.03
611,2020-07-17,102900011000328,6.24
612,2020-07-17,102900011001219,11.37
613,2020-07-17,102900011001806,3.08
614,2020-07-17,102900011006689,3.53
615,2020-07-17,102900011008522,5.0
616,2020-07-17,102900011009444,5.16
617,2020-07-17,102900011009970,3.22
618,2020-07-17,102900051004294,7.56
619,2020-07-17,102900051010455,5.31
620,2020-07-17,106956146480197,2.03
621,2020-07-18,102900005115762,3.22
622,2020-07-18,102900005115779,6.8
623,2020-07-18,102900005115786,1.76
624,2020-07-18,102900005115793,10.85
625,2020-07-18,102900005115823,5.38
626,2020-07-18,102900005115908,4.37
627,2020-07-18,102900005115946,4.35
628,2020-07-18,102900005115960,1.4
629,2020-07-18,102900005115984,3.75
630,2020-07-18,102900005116226,4.96
631,2020-07-18,102900005116233,8.3
632,2020-07-18,102900005116257,5.14
633,2020-07-18,102900005116509,2.55
634,2020-07-18,102900005116530,12.0
635,2020-07-18,102900005116547,5.02
636,2020-07-18,102900005116714,7.75
637,2020-07-18,102900005116899,8.0
638,2020-07-18,102900005116912,7.79
639,2020-07-18,102900005116943,8.93
640,2020-07-18,102900005117056,5.02
641,2020-07-18,102900005117209,13.74
642,2020-07-18,102900005118824,5.45
643,2020-07-18,102900005118831,4.08
644,2020-07-18,102900005119944,9.91
645,2020-07-18,102900005119975,2.83
646,2020-07-18,102900005123880,5.73
647,2020-07-18,102900005125808,10.43
648,2020-07-18,102900005125815,6.05
649,2020-07-18,102900011000328,6.12
650,2020-07-18,102900011001219,12.0
651,2020-07-18,102900011001806,3.09
652,2020-07-18,102900011008522,5.0
653,2020-07-18,102900011009444,4.55
654,2020-07-18,102900011009970,3.21
655,2020-07-18,102900051004294,6.72
656,2020-07-18,102900051010455,5.31
657,2020-07-18,106956146480197,2.02
658,2020-07-19,102900005115779,6.8
659,2020-07-19,102900005115786,2.1
660,2020-07-19,102900005115793,10.97
661,2020-07-19,102900005115823,5.33
662,2020-07-19,102900005115908,4.38
663,2020-07-19,102900005115946,4.37
664,2020-07-19,102900005115960,1.4
665,2020-07-19,102900005115984,3.78
666,2020-07-19,102900005116226,4.8
667,2020-07-19,102900005116233,8.95
668,2020-07-19,102900005116257,5.14
669,2020-07-19,102900005116509,2.71
670,2020-07-19,102900005116530,12.0
671,2020-07-19,102900005116547,5.04
672,2020-07-19,102900005116714,7.86
673,2020-07-19,102900005116899,8.0
674,2020-07-19,102900005116912,7.81
675,2020-07-19,102900005116943,9.02
676,2020-07-19,102900005117056,6.19
677,2020-07-19,102900005117209,12.29
678,2020-07-19,102900005118824,5.43
679,2020-07-19,102900005118831,4.06
680,2020-07-19,102900005119944,9.9
681,2020-07-19,102900005119975,2.8
682,2020-07-19,102900005123880,4.13
683,2020-07-19,102900005125808,10.29
684,2020-07-19,102900005125815,6.07
685,2020-07-19,102900011000328,6.15
686,2020-07-19,102900011001219,11.21
687,2020-07-19,102900011001806,3.12
688,2020-07-19,102900011008522,4.55
689,2020-07-19,102900011009444,4.44
690,2020-07-19,102900011009970,3.28
691,2020-07-19,102900051004294,6.24
692,2020-07-19,102900051010455,5.31
693,2020-07-19,106956146480197,2.05
694,2020-07-20,102900005115779,6.8
695,2020-07-20,102900005115786,2.18
696,2020-07-20,102900005115793,10.05
697,2020-07-20,102900005115823,5.33
698,2020-07-20,102900005115908,4.38
699,2020-07-20,102900005115946,4.37
700,2020-07-20,102900005115960,1.56
701,2020-07-20,102900005115984,3.83
702,2020-07-20,102900005116226,5.05
703,2020-07-20,102900005116233,8.71
704,2020-07-20,102900005116257,5.14
705,2020-07-20,102900005116509,2.71
706,2020-07-20,102900005116530,12.0
707,2020-07-20,102900005116547,5.05
708,2020-07-20,102900005116714,7.86
709,2020-07-20,102900005116899,8.0
710,2020-07-20,102900005116912,7.82
711,2020-07-20,102900005116943,8.88
712,2020-07-20,102900005117056,6.15
713,2020-07-20,102900005117209,12.44
714,2020-07-20,102900005118824,5.44
715,2020-07-20,102900005118831,4.07
716,2020-07-20,102900005119944,9.96
717,2020-07-20,102900005119975,2.8
718,2020-07-20,102900005125808,10.21
719,2020-07-20,102900005125815,6.08
720,2020-07-20,102900011000328,6.21
721,2020-07-20,102900011001219,11.24
722,2020-07-20,102900011001806,3.13
723,2020-07-20,102900011008522,4.22
724,2020-07-20,102900011009444,4.42
725,2020-07-20,102900011009970,3.38
726,2020-07-20,102900051004294,6.25
727,2020-07-20,102900051010455,5.31
728,2020-07-20,106956146480197,2.07
729,2020-07-21,102900005115762,3.37
730,2020-07-21,102900005115779,6.66
731,2020-07-21,102900005115786,2.17
732,2020-07-21,102900005115793,9.83
733,2020-07-21,102900005115823,5.33
